,Latitude,Longitude,City,Country,Temperature,Humidity,Cloud Coverage,Wind Speed
137,-38.37781399813094,-77.51366448702377,lebu,cl,58.06,91,0,11.43
138,-6.789857687782231,133.88599214989756,tual,id,82.94,100,92,10.83
139,43.12017310599407,115.56924397706257,zhangjiakou,cn,3.25,33,0,10.16
140,-22.1286325722713,7.240027067987569,henties bay,na,70.7,85,0,7.63
141,68.10349757028877,123.44189216805546,zhigansk,ru,-30.06,50,24,0.25
142,51.46567625612428,1.7013544298023078,broadstairs,gb,41,100,90,14.99
143,-3.6373508886917705,-60.52163938042089,manacapuru,br,87.58,75,20,5.84
144,36.16077662445801,-87.4976885924877,dickson,us,48.06,61,1,6.8
145,-29.85272067258763,-71.91323872656389,coquimbo,cl,69.8,68,20,13.87
146,61.288457401538466,23.44380379092911,nokia,fi,19.4,92,90,6.93
147,38.76578989729762,-79.42320907778965,harrisonburg,us,34.65,55,1,8.05
148,34.293578709834875,-72.79133353150775,elizabeth city,us,47.71,74,1,9.17
149,40.356516085351785,-43.72202657619758,torbay,ca,21.2,73,75,14.99
150,42.56831294342783,103.19693392994247,hovd,mn,-13.63,54,32,2.48
151,-20.14664160021286,32.20569723014714,chipinge,zw,78.8,64,88,6.58
152,40.887389761836545,85.39324795746433,korla,cn,6.17,51,8,2.26
153,-37.82710581848998,68.55628660773507,mahebourg,mu,77,94,75,6.91
154,6.798962635451161,-57.02015986837526,fort wellington,gy,75.25,100,92,12.28
155,19.648667952959002,-148.84392789873334,hilo,us,49.96,72,1,18.81
156,0.41252663347593455,71.88233138045939,thinadhoo,mv,83.39,100,0,10.09
157,45.45401479290646,50.28072496988426,fort-shevchenko,kz,35.47,94,0,20.22
158,-78.44590173368461,57.639009931902194,east london,za,73.4,78,0,9.17
159,38.84179256418872,-85.93036479502982,seymour,us,40.06,81,0,12.66
160,47.289774368230866,-121.93936288171557,enumclaw,us,39.65,100,90,1.54
161,31.27906423904048,126.49641564794399,fukue,jp,39.2,60,0,4.7
162,-31.918690309018054,18.80518544471164,vredendal,za,73.72,51,8,11.27
163,-0.8910992351912057,103.98996023947598,simpang,id,78.89,100,0,6.02
164,66.02149852750185,106.9525737952759,aykhal,ru,-18.72,26,48,4
165,3.7519701147344335,68.0608905683959,mahibadhoo,mv,82.49,100,64,12.06
166,-2.8632275702145193,64.16307502320538,victoria,sc,80.6,78,20,2.24
167,15.110274452871522,24.398531393313363,kutum,sd,82.81,26,0,9.37
168,-44.422960555116155,-55.61109614220784,necochea,ar,77.05,54,32,17.87
169,10.572892534811757,-0.32456079105358526,bawku,gh,96.53,22,0,12.84
170,-3.7631023986619425,-151.78989872543107,faanui,pf,81.37,100,92,19.33
171,73.18915314226314,73.07297125366631,yar-sale,ru,11.17,93,88,8.75
172,80.95241636461267,30.79691556095932,berlevag,no,27.16,79,20,41.38
173,76.46892054962382,97.66289702231506,khatanga,ru,2.8,68,56,10.83
174,57.15388743205153,52.28234963452175,uva,ru,12.65,86,56,3.56
175,10.14144115346005,-114.9789240472566,san patricio,mx,77,94,90,2.82
176,75.78540528131768,-10.230221744972255,husavik,is,30.2,68,40,18.34
177,-30.896627196899765,-61.28290468332129,rafaela,ar,72.77,89,76,14.56
178,-49.85093416373892,157.82095587029136,tuatapere,nz,57.83,100,80,6.4
179,12.782192478337095,-117.93355564449276,cabo san lucas,mx,69.8,83,75,3.36
180,55.19331795299121,91.84475819056257,balakhta,ru,12.38,85,80,4.5
181,54.24230191096973,-124.56053143957222,fort saint james,ca,-10.75,67,0,2.55
182,32.15568131782754,-44.2010610496169,ribeira grande,pt,64.4,82,75,17.22
183,65.43110376325151,136.46200129834443,batagay,ru,-37.66,0,48,3.11
184,52.62502520082617,110.18304834098461,khorinsk,ru,-14.8,61,20,5.73
185,3.9108020569854887,-108.51989453551201,ixtapa,mx,71.6,83,90,2.71
186,-18.899886061825583,-57.58650105412886,ladario,br,88.75,70,75,8.05
187,44.360756738376494,30.413747010879888,sfantu gheorghe,ro,44.62,87,0,6.93
188,52.024463547188475,-79.78336415467342,moose factory,ca,-9.41,69,1,13.87
189,60.18215104700977,-25.622245809466932,grindavik,is,28.4,58,20,3.36
190,-48.427422736309744,63.03467996595771,saint-philippe,re,77.11,88,75,6.93
191,-14.71043128391429,146.73646128257099,cairns,au,69.8,94,20,6.93
192,42.32136928743921,-110.07870155725253,green river,us,42.8,45,1,21.92
193,-19.46655699977707,-53.71578664463749,camapua,br,86.86,66,44,9.42
194,-0.004107988159503861,-59.51656642123841,boa vista,br,89.6,46,40,18.34
195,-45.463445045304724,-38.0465998559755,chuy,uy,84.88,91,48,13.18
196,-44.73993492171935,-14.715960088320202,jamestown,sh,71.87,100,0,14.79
197,-12.087682761475264,121.27852291952644,waingapu,id,73.18,97,20,1.77
198,66.1806825882731,-4.9595344243022055,klaksvik,fo,30.2,92,36,22.39
199,13.600168236018845,-50.069157728048566,iracoubo,gf,76.96,91,88,4.61
200,-16.677314159938888,64.26242707969027,grand gaube,mu,77,94,75,14.34
201,18.687708230143812,-126.56695822843086,guerrero negro,mx,51.17,95,0,1.03
202,32.294546810039805,131.84491935322814,nobeoka,jp,36.91,80,80,2.37
203,12.504484495467509,88.89707462258087,port blair,in,79.79,100,20,11.54
204,25.086906191075087,86.38508336939168,kharagpur,in,76.64,63,76,2.55
205,59.541678864395664,43.87826338647983,imeni babushkina,ru,20.39,87,88,8.93
206,-28.593075706006395,27.470216321899045,marquard,za,76.51,62,24,3.38
207,46.21660644415741,-138.47607662640993,sitka,us,28.22,67,48,21.61
208,-52.14006814513489,176.8324336202656,dunedin,nz,49.96,94,80,2.89
209,-6.444714468101736,123.02223619068923,katobu,id,83.8,90,64,6.4
210,11.412824334605006,-21.908348518125962,praia,cv,71.6,56,40,23.04
211,42.81405106949467,69.17334697006947,arys,kz,26.6,73,24,4.47
212,0.8248660147404792,22.865984414372576,basoko,cd,99.59,27,12,4.05
213,39.75655343993398,34.29739938786793,yerkoy,tr,45.55,58,24,3.6
214,35.04336874504662,132.53833956386046,oda,jp,48.25,96,80,16.58
215,41.20912812064057,-7.830223399422948,godim,pt,47.53,83,24,3.38
216,39.640676658857274,-79.43190568828048,uniontown,us,29.08,69,1,3.33
217,62.49555545511629,132.1343118447029,churapcha,ru,-31.05,51,64,3.33
218,-3.79666210611137,99.53432196181853,sungaipenuh,id,67.73,97,92,1.25
219,14.455541659611882,115.755997439922,palauig,ph,72.05,100,76,4.34
220,21.49017235836915,104.76936804033642,yen bai,vn,52.97,97,20,2.48
221,8.372948181288393,-33.75271120853617,sao filipe,cv,69.76,95,20,21.83
222,-7.043100430247918,2.3167582372738025,omboue,ga,81.23,100,24,7.4
223,60.19203949878971,-46.46604769173996,qaqortoq,gl,8.56,78,75,3.36
224,6.2070131781343605,-32.910935824765744,paracuru,br,86,62,40,11.41
225,-4.783226136808182,12.238706934619842,loandjili,cg,84.2,74,75,8.05
